2theta in degrees,after debinding and sintering,normalized
30.64,167.538,7.35965
30.66,153.501,6.74303
30.68,161.181,7.0804
30.7,154.578,6.79034
30.72,158.095,6.94484
30.74,171.407,7.52961
30.76,152.465,6.69752
30.78,148.106,6.50604
30.8,154.069,6.76798
30.82,140.752,6.18299
30.84,165.359,7.26393
30.86,164.248,7.21513
30.88,142.471,6.2585
30.9,159.02,6.98547
30.92,145.2,6.37838
30.94,150.264,6.60084
30.96,158.403,6.95837
30.98,142.501,6.25982
31,153.718,6.75256
31.02,134.863,5.9243
31.04,142.079,6.24128
31.06,146.86,6.4513
31.08,146.272,6.42547
31.1,156.568,6.87776
31.12,146.275,6.42561
31.14,157.822,6.93285
31.16,135.491,5.95188
31.18,118.293,5.19641
31.2,128.852,5.66024
31.22,139.07,6.1091
31.24,145.68,6.39947
31.26,126.521,5.55785
31.28,140.601,6.17636
31.3,142.863,6.27572
31.32,126.544,5.55886
31.34,134.928,5.92715
31.36,134.246,5.89719
31.38,123.381,5.41991
31.4,121.905,5.35507
31.42,151.531,6.65649
31.44,137.5,6.04014
31.46,129.306,5.68019
31.48,107.076,4.70366
31.5,124.81,5.48269
31.52,123.955,5.44513
31.54,119.075,5.23076
31.56,138.988,6.1055
31.58,131.59,5.78052
31.6,144.448,6.34535
31.62,127.314,5.59268
31.64,140.685,6.18005
31.66,125.821,5.5271
31.68,121.935,5.35639
31.7,136.321,5.98834
31.72,109.099,4.79253
31.74,135.649,5.95882
31.76,137.857,6.05582
31.78,142.138,6.24387
31.8,128.383,5.63964
31.82,120.324,5.28562
31.84,104.938,4.60974
31.86,113.683,4.9939
31.88,124.483,5.46832
31.9,119.254,5.23862
31.92,120.235,5.28171
31.94,120.895,5.31071
31.96,125.309,5.50461
31.98,101.723,4.46851
32,94.151,4.13589
32.02,106.884,4.69523
32.04,131.486,5.77595
32.06,115.655,5.08052
32.08,113.401,4.98151
32.1,127.49,5.60041
32.12,113.161,4.97097
32.14,113.552,4.98814
32.16,107.086,4.7041
32.18,123.106,5.40783
32.2,115.5,5.07371
32.22,114.476,5.02873
32.24,108.254,4.75541
32.26,96.529,4.24035
32.28,100.274,4.40486
32.3,95.486,4.19453
32.32,104.746,4.60131
32.34,98.904,4.34468
32.36,111.122,4.8814
32.38,114.039,5.00953
32.4,104.637,4.59652
32.42,101.572,4.46188
32.44,96.566,4.24198
32.46,110.363,4.84805
32.48,109.677,4.81792
32.5,103.598,4.55088
32.52,108.659,4.7732
32.54,102.547,4.50471
32.56,107.033,4.70177
32.58,127.688,5.60911
32.6,100.137,4.39884
32.62,100.264,4.40442
32.64,100.918,4.43315
32.66,97.671,4.29052
32.68,81.296,3.57119
32.7,87.787,3.85633
32.72,109.133,4.79402
32.74,99.811,4.38452
32.76,95.446,4.19278
32.78,104.65,4.59709
32.8,93.031,4.08669
32.82,97.575,4.2863
32.84,90.342,3.96857
32.86,86.695,3.80836
32.88,97.191,4.26943
32.9,91.807,4.03292
32.92,93.788,4.11994
32.94,95.205,4.18219
32.96,93.764,4.11889
32.98,93.349,4.10066
33,102.68,4.51055
33.02,100.592,4.41883
33.04,103.424,4.54324
33.06,112.506,4.94219
33.08,95.299,4.18632
33.1,79.308,3.48386
33.12,79.07,3.47341
33.14,84.788,3.72459
33.16,112.469,4.94057
33.18,96.996,4.26087
33.2,96.335,4.23183
33.22,91.604,4.024
33.24,88.273,3.87768
33.26,78.024,3.42746
33.28,84.432,3.70895
33.3,96.787,4.25168
33.32,87.47,3.8424
33.34,97.346,4.27624
33.36,85.458,3.75402
33.38,82.882,3.64086
33.4,82.206,3.61117
33.42,83.306,3.65949
33.44,83.028,3.64728
33.46,98.781,4.33928
33.48,89.718,3.94116
33.5,75.761,3.32805
33.52,81.402,3.57585
33.54,79.355,3.48593
33.56,92.724,4.0732
33.58,84.711,3.72121
33.6,89.997,3.95341
33.62,77.529,3.40571
33.64,88.451,3.8855
33.66,71.063,3.12167
33.68,69.924,3.07164
33.7,92.977,4.08432
33.72,78.038,3.42807
33.74,73.204,3.21572
33.76,87.565,3.84658
33.78,91.535,4.02097
33.8,85.29,3.74664
33.82,77.978,3.42544
33.84,79.564,3.49511
33.86,89.088,3.91348
33.88,74.553,3.27498
33.9,82.323,3.61631
33.92,90.106,3.9582
33.94,72.122,3.16819
33.96,85.192,3.74234
33.98,90.822,3.98965
34,95.117,4.17832
34.02,104.367,4.58466
34.04,99.105,4.35351
34.06,84.579,3.71541
34.08,98.117,4.31011
34.1,103.808,4.5601
34.12,100.175,4.40051
34.14,97.264,4.27264
34.16,86.356,3.79347
34.18,102.259,4.49206
34.2,89.844,3.94669
34.22,107.845,4.73744
34.24,90.462,3.97384
34.26,90.876,3.99202
34.28,97.728,4.29302
34.3,97.507,4.28331
34.32,96.073,4.22032
34.34,85.932,3.77484
34.36,80.951,3.55604
34.38,98.427,4.32373
34.4,104.995,4.61225
34.42,93.861,4.12315
34.44,83.32,3.6601
34.46,90.798,3.9886
34.48,85.014,3.73452
34.5,67.152,2.94987
34.52,72.848,3.20009
34.54,86.39,3.79496
34.56,86.766,3.81148
34.58,97.246,4.27185
34.6,76.964,3.38089
34.62,87.844,3.85883
34.64,83.774,3.68005
34.66,88.196,3.8743
34.68,95.561,4.19783
34.7,79.919,3.5107
34.72,103.067,4.52755
34.74,93.407,4.10321
34.76,96.392,4.23433
34.78,94.678,4.15904
34.8,86.563,3.80256
34.82,105.461,4.63272
34.84,103.276,4.53673
34.86,86.414,3.79602
34.88,86.739,3.81029
34.9,99.841,4.38584
34.92,102.843,4.51771
34.94,99.609,4.37565
34.96,111.95,4.91777
34.98,102.357,4.49636
35,127.868,5.61702
35.02,147.716,6.48891
35.04,145.372,6.38594
35.06,187.059,8.21718
35.08,191.975,8.43313
35.1,220.586,9.68996
35.12,233.326,10.2496
35.14,301.124,13.22785
35.16,345.437,15.17445
35.18,465.868,20.46477
35.2,704.688,30.95572
35.22,1170.387,51.41306
35.24,1804.451,79.26639
35.26,2276.439,100
35.28,2103.832,92.41768
35.3,1490.06,65.45574
35.32,1226.411,53.8741
35.34,1343.791,59.0304
35.36,1252.019,54.99901
35.38,957.722,42.07106
35.4,590.671,25.94715
35.42,359.332,15.78483
35.44,227.35,9.98709
35.46,198.224,8.70764
35.48,182.6,8.0213
35.5,147.616,6.48451
35.52,141.234,6.20416
35.54,127.854,5.6164
35.56,109.963,4.83048
35.58,120.239,5.28189
35.6,98.125,4.31046
35.62,102.55,4.50484
35.64,95.53,4.19647
35.66,92.887,4.08036
35.68,92.124,4.04685
35.7,105.05,4.61466
35.72,84.489,3.71145
35.74,67.112,2.94811
35.76,89.879,3.94823
35.78,87.597,3.84798
35.8,72.318,3.1768
35.82,78.803,3.46168
35.84,108.927,4.78497
35.86,87.848,3.85901
35.88,84.191,3.69836
35.9,72.608,3.18954
35.92,78.001,3.42645
35.94,81.145,3.56456
35.96,87.453,3.84166
35.98,84.766,3.72362
36,80.941,3.5556
36.02,68.781,3.02143
36.04,69.257,3.04234
36.06,76.624,3.36596
36.08,93.038,4.087
36.1,63.753,2.80056
36.12,76.119,3.34378
36.14,67.941,2.98453
36.16,62.268,2.73532
36.18,70.924,3.11557
36.2,70.504,3.09712
36.22,75.252,3.30569
36.24,68.588,3.01295
36.26,75.49,3.31614
36.28,81.52,3.58103
36.3,72.333,3.17746
36.32,72.285,3.17535
36.34,70.576,3.10028
36.36,76.965,3.38094
36.38,71.724,3.15071
36.4,75.008,3.29497
36.42,76.755,3.37171
36.44,87.085,3.82549
36.46,74.866,3.28873
36.48,83.193,3.65452
36.5,69.927,3.07177
36.52,89.702,3.94045
36.54,81.029,3.55946
36.56,73.946,3.24832
36.58,83.903,3.68571
36.6,73.399,3.22429
36.62,82.86,3.6399
36.64,71.47,3.13955
36.66,70.727,3.10691
36.68,78.923,3.46695
36.7,68.517,3.00983
36.72,72.366,3.17891
36.74,60.84,2.6726
36.76,63.321,2.78158
36.78,62.4,2.74112
36.8,66.919,2.93964
36.82,79.945,3.51184
36.84,82.47,3.62276
36.86,82.588,3.62795
36.88,80.311,3.52792
36.9,78.393,3.44367
36.92,67.31,2.95681
36.94,64.745,2.84414
36.96,62.346,2.73875
36.98,73.901,3.24634
37,77.488,3.40391
37.02,63.584,2.79313
37.04,57.978,2.54687
37.06,58.78,2.5821
37.08,74.748,3.28355
37.1,80.202,3.52313
37.12,71.91,3.15888
37.14,84.961,3.73219
37.16,65.45,2.8751
37.18,70.784,3.10942
37.2,89.913,3.94972
37.22,74.557,3.27516
37.24,68.766,3.02077
37.26,77.589,3.40835
37.28,93.008,4.08568
37.3,69.603,3.05754
37.32,60.141,2.64189
37.34,76.386,3.3555
37.36,75.796,3.32959
37.38,74.24,3.26123
37.4,75.758,3.32792
37.42,67.111,2.94807
37.44,72.054,3.16521
37.46,78.604,3.45294
37.48,80.818,3.55019
37.5,83.796,3.68101
37.52,61.343,2.69469
37.54,80.374,3.53069
37.56,76.699,3.36925
37.58,69.528,3.05424
37.6,89.75,3.94256
37.62,88.115,3.87074
37.64,102.393,4.49795
37.66,83.85,3.68338
37.68,92.479,4.06244
37.7,113.424,4.98252
37.72,111.179,4.8839
37.74,124.855,5.48466
37.76,140.512,6.17245
37.78,178.654,7.84796
37.8,211.471,9.28955
37.82,309.963,13.61613
37.84,438.604,19.26711
37.86,689.212,30.27588
37.88,898.908,39.48746
37.9,883.53,38.81193
37.92,641.025,28.15911
37.94,505.197,22.19242
37.96,494.191,21.70895
37.98,560.301,24.61305
38,480.13,21.09127
38.02,331.027,14.54144
38.04,190.009,8.34676
38.06,137.586,6.04391
38.08,117.518,5.16236
38.1,105.051,4.61471
38.12,94.556,4.15368
38.14,86.881,3.81653
38.16,81.792,3.59298
38.18,61.792,2.71441
38.2,81.285,3.57071
38.22,73.938,3.24797
38.24,70.01,3.07542
38.26,84.245,3.70074
38.28,68.712,3.0184
38.3,65.046,2.85736
38.32,69.817,3.06694
38.34,63.403,2.78518
38.36,60.517,2.65841
38.38,70.963,3.11728
38.4,75.496,3.31641
38.42,70.444,3.09448
38.44,75.349,3.30995
38.46,75.639,3.32269
38.48,69.786,3.06558
38.5,68.999,3.03101
38.52,71.06,3.12154
38.54,67.907,2.98304
38.56,71.412,3.137
38.58,56.416,2.47826
38.6,56.903,2.49965
38.62,88.768,3.89942
38.64,75.592,3.32062
38.66,68.682,3.01708
38.68,70.694,3.10546
38.7,72.17,3.1703
38.72,72.618,3.18998
38.74,58.652,2.57648
38.76,70.56,3.09958
38.78,71.071,3.12203
38.8,59.818,2.6277
38.82,66.473,2.92004
38.84,76.354,3.3541
38.86,61.856,2.71723
38.88,62.476,2.74446
38.9,71.854,3.15642
38.92,76.033,3.34
38.94,62.397,2.74099
38.96,47.362,2.08053
38.98,67.301,2.95642
39,62.22,2.73322
39.02,71.855,3.15646
39.04,66.392,2.91648
39.06,81.061,3.56087
39.08,76.599,3.36486
39.1,86.312,3.79154
39.12,95.788,4.2078
39.14,70.966,3.11741
39.16,71.438,3.13815
39.18,53.326,2.34252
39.2,64.161,2.81848
39.22,72.039,3.16455
39.24,65.276,2.86746
39.26,57.394,2.52122
39.28,62.725,2.7554
39.3,74.136,3.25667
39.32,66.528,2.92246
39.34,62.493,2.74521
39.36,63.481,2.78861
39.38,62.29,2.73629
39.4,60.925,2.67633
39.42,64.558,2.83592
39.44,59.242,2.6024
39.46,67.715,2.9746
39.48,67.98,2.98624
39.5,56.979,2.50299
39.52,63.966,2.80991
39.54,64.686,2.84154
39.56,65.346,2.87054
39.58,66.222,2.90902
39.6,69.274,3.04309
39.62,65.154,2.8621
39.64,45.998,2.02061
39.66,67.754,2.97632
39.68,83.681,3.67596
39.7,72.676,3.19253
39.72,71.654,3.14764
39.74,63.882,2.80622
39.76,56.368,2.47615
39.78,58.406,2.56567
39.8,62.852,2.76098
39.82,64.074,2.81466
39.84,55.529,2.43929
39.86,60.411,2.65375
39.88,72.739,3.1953
39.9,67.221,2.9529
39.92,65.84,2.89224
39.94,56.356,2.47562
39.96,63.629,2.79511
39.98,66.099,2.90361
40,72.452,3.18269
40.02,60.046,2.63772
40.04,61.821,2.71569
40.06,71.865,3.1569
40.08,65.321,2.86944
40.1,54.071,2.37524
40.12,71.646,3.14728
40.14,70.503,3.09707
40.16,52.585,2.30997
40.18,63.163,2.77464
40.2,67.108,2.94794
40.22,74.517,3.2734
40.24,69.112,3.03597
40.26,58.933,2.58882
40.28,70.247,3.08583
40.3,70.284,3.08745
40.32,59.48,2.61285
40.34,48.453,2.12846
40.36,67.51,2.9656
40.38,67.661,2.97223
40.4,73.701,3.23756
40.42,66.042,2.90111
40.44,68.815,3.02292
40.46,60.862,2.67356
40.48,66.339,2.91416
40.5,51.933,2.28133
40.52,57.801,2.5391
40.54,69.199,3.03979
40.56,60.877,2.67422
40.58,52.497,2.3061
40.6,65.403,2.87304
40.62,68.262,2.99863
40.64,74.828,3.28706
40.66,52.464,2.30465
40.68,51.848,2.27759
40.7,71.055,3.12132
40.72,68.507,3.00939
40.74,70.024,3.07603
40.76,61.939,2.72087
40.78,70.149,3.08152
40.8,66.786,2.93379
40.82,64.009,2.8118
40.84,73.603,3.23325
40.86,74.82,3.28671
40.88,64.048,2.81352
40.9,72.318,3.1768
40.92,63.475,2.78835
40.94,65.32,2.86939
40.96,58.695,2.57837
40.98,62.844,2.76063
41,63.452,2.78734
41.02,49.678,2.18227
41.04,59.978,2.63473
41.06,64.92,2.85182
41.08,68.07,2.9902
41.1,69.478,3.05205
41.12,69.418,3.04941
41.14,64.001,2.81145
41.16,62.055,2.72597
41.18,57.587,2.5297
41.2,55.364,2.43204
41.22,59.473,2.61255
41.24,59.339,2.60666
41.26,59.941,2.6331
41.28,65.949,2.89702
41.3,58.948,2.58948
41.32,60.013,2.63627
41.34,77.918,3.4228
41.36,71.246,3.12971
41.38,62.946,2.76511
41.4,57.9,2.54345
41.42,50.276,2.20854
41.44,65.068,2.85832
41.46,56.664,2.48915
41.48,56.954,2.50189
41.5,55.119,2.42128
41.52,58.809,2.58338
41.54,60.521,2.65858
41.56,59.203,2.60068
41.58,58.23,2.55794
41.6,59.999,2.63565
41.62,67.512,2.96568
41.64,56.818,2.49592
41.66,57.147,2.51037
41.68,57.108,2.50865
41.7,63.811,2.80311
41.72,68.527,3.01027
41.74,77.048,3.38458
41.76,84.305,3.70337
41.78,79.987,3.51369
41.8,67.633,2.971
41.82,70.586,3.10072
41.84,68.403,3.00482
41.86,71.773,3.15286
41.88,56.653,2.48867
41.9,83.811,3.68167
41.92,66.151,2.9059
41.94,69.485,3.05236
41.96,64.255,2.82261
41.98,59.627,2.61931
42,66.636,2.9272
42.02,58.918,2.58817
42.04,48.573,2.13373
42.06,63.712,2.79876
42.08,71.208,3.12804
42.1,70.377,3.09154
42.12,85.874,3.7723
42.14,85.765,3.76751
42.16,83.473,3.66682
42.18,61.063,2.68239
42.2,58.219,2.55746
42.22,52.863,2.32218
42.24,63.405,2.78527
42.26,75.47,3.31527
42.28,50.777,2.23055
42.3,46.62,2.04794
42.32,65.927,2.89606
42.34,63.138,2.77354
42.36,75.46,3.31483
42.38,63.237,2.77789
42.4,70.379,3.09163
42.42,63.811,2.80311
42.44,75.724,3.32642
42.46,69.814,3.06681
42.48,59.493,2.61342
42.5,69.739,3.06351
42.52,78.697,3.45702
42.54,69.97,3.07366
42.56,54.386,2.38908
42.58,71.649,3.14742
42.6,70.177,3.08275
42.62,70.297,3.08802
42.64,66.237,2.90968
42.66,70.883,3.11377
42.68,78.909,3.46633
42.7,80.118,3.51944
42.72,67.037,2.94482
42.74,67.078,2.94662
42.76,70.115,3.08003
42.78,62.22,2.73322
42.8,67.99,2.98668
42.82,73.735,3.23905
42.84,77.698,3.41314
42.86,52.548,2.30834
42.88,74.844,3.28777
42.9,71.84,3.15581
42.92,74.369,3.2669
42.94,84.587,3.71576
42.96,85.943,3.77533
42.98,76.477,3.3595
43,64.833,2.848
43.02,68.666,3.01638
43.04,73.016,3.20747
43.06,89.232,3.91981
43.08,77.359,3.39825
43.1,97.14,4.26719
43.12,80.311,3.52792
43.14,89.552,3.93386
43.16,92.687,4.07158
43.18,91.01,3.99791
43.2,107.483,4.72154
43.22,121.713,5.34664
43.24,139.984,6.14925
43.26,163.39,7.17744
43.28,171.468,7.53229
43.3,209.995,9.22471
43.32,215.503,9.46667
43.34,247.479,10.87132
43.36,350.542,15.3987
43.38,460.167,20.21433
43.4,704.14,30.93164
43.42,1161.639,51.02878
43.44,1714.054,75.29541
43.46,2228.466,97.89263
43.48,2072.364,91.03534
43.5,1389.592,61.04236
43.52,989.242,43.45568
43.54,987.612,43.38407
43.56,1155.697,50.76776
43.58,1232.194,54.12814
43.6,922.993,40.54547
43.62,592.013,26.0061
43.64,354.128,15.55623
43.66,284.901,12.5152
43.68,206.687,9.0794
43.7,147.21,6.46668
43.72,128.25,5.6338
43.74,127.587,5.60467
43.76,132.885,5.83741
43.78,95.466,4.19366
43.8,102.031,4.48204
43.82,83.288,3.6587
43.84,75.327,3.30898
43.86,93.387,4.10233
43.88,78.323,3.44059
43.9,77.67,3.41191
43.92,83.179,3.65391
43.94,71.136,3.12488
43.96,69.567,3.05596
43.98,72.096,3.16705
44,61.332,2.69421
44.02,79.527,3.49348
44.04,58.521,2.57073
44.06,54.042,2.37397
44.08,60.671,2.66517
44.1,74.25,3.26167
44.12,69.825,3.06729
44.14,70.093,3.07906
44.16,63.899,2.80697
44.18,61.96,2.72179
44.2,59.096,2.59598
44.22,56.896,2.49934
44.24,63.005,2.7677
44.26,53.094,2.33233
44.28,70.522,3.09791
44.3,61.136,2.6856
44.32,67.144,2.94952
44.34,57.865,2.54191
44.36,60.212,2.64501
44.38,55.542,2.43986
44.4,66.015,2.89992
44.42,56.249,2.47092
44.44,46.673,2.05026
44.46,54.224,2.38197
44.48,65.449,2.87506
44.5,69.492,3.05266
44.52,69.2,3.03984
44.54,54.666,2.40138
44.56,59.187,2.59998
44.58,57.091,2.50791
44.6,35.845,1.57461
44.62,59.655,2.62054
44.64,51.042,2.24219
44.66,52.683,2.31427
44.68,66.352,2.91473
44.7,54.294,2.38504
44.72,52.538,2.3079
44.74,51.027,2.24153
44.76,69.827,3.06738
44.78,53.373,2.34458
44.8,54.813,2.40784
44.82,53.364,2.34419
44.84,65.376,2.87185
44.86,66.129,2.90493
44.88,64.132,2.81721
44.9,54,2.37213
44.92,50.149,2.20296
44.94,64.862,2.84927
44.96,57.784,2.53835
44.98,61.249,2.69056
45,58.49,2.56936
45.02,49.784,2.18692
45.04,73.32,3.22082
45.06,65.369,2.87155
45.08,46.23,2.0308
45.1,59.227,2.60174
45.12,59.979,2.63477
45.14,57.369,2.52012
45.16,52.974,2.32706
45.18,48.497,2.13039
45.2,57.21,2.51314
45.22,66.354,2.91482
45.24,55.4,2.43363
45.26,54.35,2.3875
45.28,57.722,2.53563
45.3,57.409,2.52188
45.32,61.097,2.68388
45.34,69.109,3.03584
45.36,67.938,2.9844
45.38,52.274,2.29631
45.4,64.884,2.85024
45.42,61.277,2.69179
45.44,56.934,2.50101
45.46,56.541,2.48375
45.48,58.571,2.57292
45.5,64.074,2.81466
45.52,55.959,2.45818
45.54,56.81,2.49556
45.56,55.182,2.42405
45.58,57.289,2.51661
45.6,52.929,2.32508
45.62,60.929,2.6765
45.64,42.343,1.86005
45.66,49.764,2.18605
45.68,54.289,2.38482
45.7,47.932,2.10557
45.72,52.744,2.31695
45.74,50.069,2.19944
45.76,59.374,2.6082
45.78,55.34,2.43099
45.8,42.845,1.88211
45.82,43.883,1.9277
45.84,52.457,2.30434
45.86,57.979,2.54692
45.88,54.883,2.41091
45.9,65.079,2.85881
45.92,61.865,2.71762
45.94,49.971,2.19514
45.96,57.011,2.50439
45.98,64.088,2.81527
46,53.543,2.35205
46.02,44.595,1.95898
46.04,51.689,2.27061
46.06,53.106,2.33285
46.08,54.296,2.38513
46.1,56.605,2.48656
46.12,58.191,2.55623
46.14,64.533,2.83482
46.16,68.224,2.99696
46.18,56.79,2.49469
46.2,57.608,2.53062
46.22,53.974,2.37098
46.24,61.46,2.69983
46.26,80.41,3.53227
46.28,86.492,3.79944
46.3,78.263,3.43796
46.32,78.068,3.42939
46.34,53.063,2.33097
46.36,58.825,2.58408
46.38,60.669,2.66508
46.4,65.672,2.88486
46.42,64.225,2.82129
46.44,51.074,2.24359
46.46,49.741,2.18504
46.48,58.459,2.568
46.5,52.509,2.30663
46.52,53.258,2.33953
46.54,51.577,2.26569
46.56,56.335,2.4747
46.58,46.995,2.06441
46.6,58.391,2.56501
46.62,56.869,2.49816
46.64,57.014,2.50453
46.66,56.865,2.49798
46.68,50.168,2.20379
46.7,58.666,2.5771
46.72,50.898,2.23586
46.74,62.112,2.72847
46.76,69.56,3.05565
46.78,60.078,2.63912
46.8,47.301,2.07785
46.82,71.351,3.13433
46.84,58.389,2.56493
46.86,51.205,2.24935
46.88,51.2,2.24913
46.9,45.989,2.02022
46.92,49.433,2.17151
46.94,40.763,1.79065
46.96,52.689,2.31454
46.98,70.977,3.1179
47,55.454,2.436
47.02,70.554,3.09931
47.04,67.499,2.96511
47.06,58.386,2.5648
47.08,55.288,2.42871
47.1,57.825,2.54015
47.12,46.718,2.05224
47.14,52.386,2.30123
47.16,51.234,2.25062
47.18,63.053,2.76981
47.2,70.521,3.09786
47.22,56.287,2.47259
47.24,61.424,2.69825
47.26,49.481,2.17361
47.28,64.127,2.81699
47.3,52.189,2.29257
47.32,57.421,2.5224
47.34,56.693,2.49042
47.36,52.285,2.29679
47.38,58.295,2.5608
47.4,50.939,2.23766
47.42,46.777,2.05483
47.44,37.361,1.6412
47.46,51.399,2.25787
47.48,55.303,2.42936
47.5,46.272,2.03265
47.52,44.609,1.9596
47.54,50.967,2.23889
47.56,57.717,2.53541
47.58,59.7,2.62252
47.6,46.743,2.05334
47.62,54.132,2.37792
47.64,52.759,2.31761
47.66,42.517,1.8677
47.68,48.517,2.13127
47.7,37.837,1.66211
47.72,41.197,1.80971
47.74,48.485,2.12986
47.76,55.248,2.42695
47.78,56.402,2.47764
47.8,45.329,1.99122
47.82,49.651,2.18108
47.84,49.391,2.16966
47.86,47.133,2.07047
47.88,54.799,2.40722
47.9,48.773,2.14251
47.92,48.459,2.12872
47.94,42.742,1.87758
47.96,49.198,2.16118
47.98,46.876,2.05918
48,48.628,2.13614
48.02,54.217,2.38166
48.04,56.853,2.49745
48.06,45.932,2.01771
48.08,47.484,2.08589
48.1,45.237,1.98718
48.12,47.762,2.0981
48.14,40.823,1.79328
48.16,45.433,1.99579
48.18,47.644,2.09292
48.2,49.571,2.17757
48.22,39.483,1.73442
48.24,45.09,1.98073
48.26,58.197,2.55649
48.28,45.169,1.9842
48.3,41.748,1.83392
48.32,35.757,1.57074
48.34,42.877,1.88351
48.36,46.057,2.0232
48.38,55.369,2.43226
48.4,41.15,1.80765
48.42,56.23,2.47009
48.44,49.959,2.19461
48.46,53.658,2.3571
48.48,44.756,1.96605
48.5,51.081,2.2439
48.52,48.326,2.12288
48.54,47.403,2.08233
48.56,42.366,1.86106
48.58,38.593,1.69532
48.6,43.388,1.90596
48.62,42.472,1.86572
48.64,39.451,1.73301
48.66,42.397,1.86243
48.68,44.989,1.97629
48.7,55.586,2.4418
48.72,50.401,2.21403
48.74,56.282,2.47237
48.76,51.466,2.26081
48.78,50.727,2.22835
48.8,53.719,2.35978
48.82,53.673,2.35776
48.84,47.812,2.1003
48.86,51.796,2.27531
48.88,41.859,1.83879
48.9,48.496,2.13034
48.92,52.368,2.30044
48.94,52.414,2.30246
48.96,50.745,2.22914
48.98,51.376,2.25686
49,41.553,1.82535
49.02,50.062,2.19914
49.04,50.326,2.21073
49.06,60.639,2.66377
49.08,45.745,2.0095
49.1,40.239,1.76763
49.12,56.431,2.47892
49.14,50.979,2.23942
49.16,55.547,2.44008
49.18,47.245,2.07539
49.2,46.731,2.05281
49.22,39.733,1.7454
49.24,59.718,2.62331
49.26,37.302,1.63861
49.28,51.099,2.24469
49.3,52.592,2.31027
49.32,48.215,2.118
49.34,50.235,2.20674
49.36,52.69,2.31458
49.38,51.305,2.25374
49.4,37.624,1.65276
49.42,43.512,1.91141
49.44,55.064,2.41887
49.46,58.085,2.55157
49.48,47.022,2.06559
49.5,46.704,2.05163
49.52,53.377,2.34476
49.54,63.661,2.79652
49.56,50.629,2.22404
49.58,52.958,2.32635
49.6,52.524,2.30729
49.62,47.274,2.07666
49.64,42.176,1.85272
49.66,51.004,2.24052
49.68,35.359,1.55326
49.7,44.085,1.93658
49.72,51.415,2.25857
49.74,49.99,2.19597
49.76,43.47,1.90956
49.78,40.286,1.76969
49.8,46.549,2.04482
49.82,43.404,1.90666
49.84,43.404,1.90666
49.86,46.463,2.04104
49.88,46.515,2.04332
49.9,50.217,2.20595
49.92,45.839,2.01363
49.94,46.057,2.0232
49.96,61.522,2.70255
49.98,44.615,1.95986
50,52.768,2.31801
50.02,55.947,2.45765
50.04,39.616,1.74026
50.06,51.25,2.25132
50.08,55.128,2.42168
50.1,50.433,2.21543
50.12,57.127,2.50949
50.14,44.907,1.97269
50.16,46.819,2.05668
50.18,54.527,2.39528
50.2,55.064,2.41887
50.22,42.496,1.86678
50.24,60.686,2.66583
50.26,54.639,2.4002
50.28,50.803,2.23169
50.3,54.675,2.40178
50.32,51.823,2.27649
50.34,42.486,1.86634
50.36,44.588,1.95867
50.38,49.988,2.19589
50.4,49.753,2.18556
50.42,45.338,1.99162
50.44,45.882,2.01552
50.46,61.183,2.68766
50.48,55.759,2.4494
50.5,41.344,1.81617
50.52,44.818,1.96878
50.54,53.401,2.34581
50.56,44.323,1.94703
50.58,56.959,2.50211
50.6,50.793,2.23125
50.62,57.016,2.50461
50.64,52.929,2.32508
50.66,49.246,2.16329
50.68,38.048,1.67138
50.7,48.977,2.15147
50.72,53.738,2.36062
50.74,47.7,2.09538
50.76,56.649,2.48849
50.78,52.826,2.32055
50.8,59.977,2.63469
50.82,57.048,2.50602
50.84,44.185,1.94097
50.86,34.498,1.51544
50.88,39.01,1.71364
50.9,52.648,2.31273
50.92,48.443,2.12802
50.94,39.159,1.72019
50.96,46.598,2.04697
50.98,61.068,2.68261
51,45.535,2.00027
51.02,55.759,2.4494
51.04,47.429,2.08347
51.06,45.915,2.01697
51.08,56.306,2.47342
51.1,55.868,2.45418
51.12,56.181,2.46793
51.14,58.81,2.58342
51.16,43.349,1.90425
51.18,49.866,2.19053
51.2,53.017,2.32894
51.22,57.487,2.5253
51.24,48.459,2.12872
51.26,52.022,2.28524
51.28,51.621,2.26762
51.3,44.6,1.9592
51.32,41.054,1.80343
51.34,39.248,1.7241
51.36,48.848,2.14581
51.38,56.142,2.46622
51.4,49.227,2.16246
51.42,44.25,1.94383
51.44,52.546,2.30825
51.46,52.856,2.32187
51.48,62.065,2.72641
51.5,55.746,2.44882
51.52,36.979,1.62442
51.54,48.766,2.14221
51.56,43.797,1.92393
51.58,47.391,2.0818
51.6,42.834,1.88162
51.62,52.485,2.30557
51.64,65.445,2.87488
51.66,54.856,2.40973
51.68,38.227,1.67925
51.7,52.679,2.3141
51.72,40.793,1.79197
51.74,43.914,1.92907
51.76,49.238,2.16294
51.78,45.08,1.98029
51.8,36.944,1.62289
51.82,43.611,1.91576
51.84,55.23,2.42616
51.86,51.569,2.26534
51.88,55.744,2.44874
51.9,52.572,2.3094
51.92,50.559,2.22097
51.94,50.621,2.22369
51.96,59.24,2.60231
51.98,51.911,2.28036
52,49.607,2.17915
52.02,38.73,1.70134
52.04,49.749,2.18539
52.06,57.166,2.5112
52.08,43.828,1.92529
52.1,46.318,2.03467
52.12,67.179,2.95106
52.14,60.378,2.6523
52.16,52.599,2.31058
52.18,48.817,2.14445
