2theta in degrees,after debinding and sintering,normalized
14.54,1580.836,69.44337
14.56,1623.797,71.33057
14.58,1633.662,71.76393
14.6,1608.049,70.63879
14.62,1687.104,74.11154
14.64,1612.859,70.85009
14.66,1619.823,71.156
14.68,1624.913,71.3796
14.7,1573.947,69.14075
14.72,1641.335,72.10099
14.74,1591.327,69.90422
14.76,1557.904,68.43601
14.78,1635.868,71.86083
14.8,1636.538,71.89026
14.82,1675.482,73.60101
14.84,1620.065,71.16663
14.86,1583.723,69.57019
14.88,1622.793,71.28647
14.9,1559.209,68.49334
14.92,1550.755,68.12197
14.94,1532.883,67.33688
14.96,1618.59,71.10184
14.98,1635.902,71.86233
15,1605.037,70.50648
15.02,1561.076,68.57535
15.04,1508.469,66.26442
15.06,1539.213,67.61495
15.08,1576.512,69.25343
15.1,1569.402,68.9411
15.12,1566.47,68.8123
15.14,1563.509,68.68223
15.16,1533.546,67.366
15.18,1522.26,66.87023
15.2,1470.697,64.60516
15.22,1593.533,70.00113
15.24,1592.039,69.9355
15.26,1519.528,66.75022
15.28,1517.354,66.65472
15.3,1588.072,69.76124
15.32,1583.657,69.56729
15.34,1500.631,65.92011
15.36,1527.691,67.1088
15.38,1543.075,67.7846
15.4,1511.712,66.40687
15.42,1500.394,65.90969
15.44,1481.147,65.06421
15.46,1480.377,65.03038
15.48,1483.77,65.17943
15.5,1492.936,65.58208
15.52,1445.618,63.50348
15.54,1498.299,65.81767
15.56,1527.559,67.10301
15.58,1476.814,64.87387
15.6,1497.067,65.76355
15.62,1465.658,64.3838
15.64,1488.764,65.39881
15.66,1427.753,62.7187
15.68,1450.666,63.72523
15.7,1480.779,65.04804
15.72,1478.039,64.92768
15.74,1467.658,64.47166
15.76,1479.052,64.97218
15.78,1487.227,65.33129
15.8,1457.945,64.04498
15.82,1467.533,64.46617
15.84,1442.088,63.34841
15.86,1453.474,63.84858
15.88,1450.387,63.71297
15.9,1407.93,61.84791
15.92,1406.566,61.78799
15.94,1413.15,62.07722
15.96,1416.411,62.22047
15.98,1436.969,63.12355
16,1440.34,63.27163
16.02,1499.428,65.86726
16.04,1439.505,63.23495
16.06,1495.938,65.71395
16.08,1436.515,63.1036
16.1,1422.987,62.50934
16.12,1380.045,60.62297
16.14,1465.863,64.39281
16.16,1367.862,60.0878
16.18,1405.242,61.72983
16.2,1417.264,62.25794
16.22,1428.747,62.76237
16.24,1431.584,62.88699
16.26,1395.179,61.28778
16.28,1403.964,61.67369
16.3,1367.808,60.08542
16.32,1400.074,61.50281
16.34,1445.522,63.49926
16.36,1346.421,59.14593
16.38,1329.207,58.38975
16.4,1398.888,61.45071
16.42,1357.356,59.62628
16.44,1316.16,57.81662
16.46,1348.108,59.22004
16.48,1387.786,60.96302
16.5,1390.629,61.08791
16.52,1318.555,57.92182
16.54,1277.05,56.09858
16.56,1310.751,57.57901
16.58,1310.545,57.56996
16.6,1354.546,59.50285
16.62,1332.987,58.5558
16.64,1297.069,56.97798
16.66,1337.372,58.74842
16.68,1351.28,59.35938
16.7,1327.782,58.32715
16.72,1378.708,60.56424
16.74,1301.478,57.17166
16.76,1344.528,59.06277
16.78,1316.622,57.83691
16.8,1299.246,57.07361
16.82,1334.853,58.63777
16.84,1269.865,55.78296
16.86,1263.078,55.48482
16.88,1282.907,56.35587
16.9,1282.093,56.32011
16.92,1269.208,55.7541
16.94,1292.654,56.78404
16.96,1285.651,56.47641
16.98,1288.602,56.60604
17,1278.559,56.16487
17.02,1281.642,56.3003
17.04,1280.896,56.26753
17.06,1283.362,56.37586
17.08,1234.787,54.24204
17.1,1262.524,55.46048
17.12,1252.413,55.01632
17.14,1180.218,51.84492
17.16,1223.274,53.7363
17.18,1262.634,55.46531
17.2,1235.505,54.27358
17.22,1267.85,55.69444
17.24,1245.448,54.71036
17.26,1228.079,53.94737
17.28,1242.318,54.57287
17.3,1242.635,54.58679
17.32,1255.629,55.15759
17.34,1261.511,55.41598
17.36,1234.868,54.2456
17.38,1207.382,53.03819
17.4,1250.524,54.93334
17.42,1189.563,52.25543
17.44,1204.824,52.92582
17.46,1256.723,55.20565
17.48,1287.891,56.57481
17.5,1273.976,55.96355
17.52,1237.86,54.37703
17.54,1227.688,53.9302
17.56,1218.138,53.51068
17.58,1216.839,53.45362
17.6,1200.537,52.7375
17.62,1266.919,55.65354
17.64,1168.285,51.32073
17.66,1166.38,51.23704
17.68,1206.894,53.01675
17.7,1222.23,53.69043
17.72,1185.854,52.0925
17.74,1212.918,53.28137
17.76,1176.464,51.68001
17.78,1149.821,50.50963
17.8,1203.774,52.87969
17.82,1202.066,52.80467
17.84,1164.074,51.13574
17.86,1188.527,52.20992
17.88,1267.806,55.69251
17.9,1164.918,51.17282
17.92,1178.755,51.78065
17.94,1218.495,53.52636
17.96,1133.665,49.79993
17.98,1131.42,49.70131
18,1199.203,52.6789
18.02,1206.838,53.01429
18.04,1178.935,51.78856
18.06,1159.391,50.93003
18.08,1152.439,50.62464
18.1,1161.249,51.01165
18.12,1196.994,52.58186
18.14,1163.441,51.10794
18.16,1158.923,50.90947
18.18,1164.894,51.17176
18.2,1138.3,50.00354
18.22,1163.282,51.10095
18.24,1130.684,49.66898
18.26,1144.269,50.26574
18.28,1139.129,50.03995
18.3,1088.715,47.82535
18.32,1135.074,49.86182
18.34,1151.949,50.60311
18.36,1139.683,50.06429
18.38,1129.353,49.61051
18.4,1118.009,49.11219
18.42,1141.024,50.1232
18.44,1120.345,49.2148
18.46,1148.344,50.44475
18.48,1108.968,48.71503
18.5,1099.193,48.28563
18.52,1143.096,50.21422
18.54,1081.734,47.51869
18.56,1105.611,48.56757
18.58,1147.658,50.41462
18.6,1080.375,47.45899
18.62,1144.332,50.26851
18.64,1104.551,48.521
18.66,1105.474,48.56155
18.68,1126.656,49.49204
18.7,1115.074,48.98326
18.72,1076.586,47.29255
18.74,1127.753,49.54022
18.76,1135.416,49.87685
18.78,1098.52,48.25607
18.8,1084.828,47.6546
18.82,1071.899,47.08666
18.84,1067.073,46.87466
18.86,1062.482,46.67298
18.88,1075.891,47.26202
18.9,1056.626,46.41574
18.92,1124.531,49.39869
18.94,1071.783,47.08156
18.96,1071.214,47.05657
18.98,1119.448,49.1754
19,1085.703,47.69304
19.02,1090.39,47.89893
19.04,1092.44,47.98899
19.06,1067.241,46.88204
19.08,1083.891,47.61344
19.1,1072.558,47.1156
19.12,1103.943,48.49429
19.14,1109.424,48.73506
19.16,1078.154,47.36143
19.18,1110.443,48.77983
19.2,989.958,43.48713
19.22,1009.092,44.32765
19.24,1012.952,44.49722
19.26,1038.286,45.6101
19.28,1058.068,46.47908
19.3,1087.054,47.75239
19.32,1076.329,47.28126
19.34,1076.871,47.30507
19.36,1061.609,46.63463
19.38,1072.284,47.10357
19.4,1044.102,45.86558
19.42,998.356,43.85604
19.44,1019.199,44.77164
19.46,1065.535,46.8071
19.48,1033.278,45.3901
19.5,1053.027,46.25764
19.52,1019.873,44.80124
19.54,1012.327,44.46976
19.56,1035.737,45.49812
19.58,1034.117,45.42696
19.6,1021.663,44.87988
19.62,1013.025,44.50042
19.64,974.941,42.82746
19.66,1010.437,44.38674
19.68,1001.145,43.97856
19.7,1014.07,44.54633
19.72,986.748,43.34612
19.74,965.364,42.40676
19.76,965.676,42.42046
19.78,979.97,43.04838
19.8,1002.792,44.05091
19.82,1010.929,44.40835
19.84,1002.721,44.04779
19.86,1019.958,44.80498
19.88,993.86,43.65854
19.9,999.297,43.89738
19.92,1034.608,45.44853
19.94,982.178,43.14537
19.96,969.111,42.57136
19.98,1005.765,44.1815
20,973.467,42.76271
20.02,968.14,42.5287
20.04,989.293,43.45792
20.06,986.394,43.33057
20.08,980.708,43.08079
20.1,909.795,39.96571
20.12,948.204,41.65295
20.14,912.911,40.10259
20.16,985.197,43.27799
